root,parent,dataset_id,class,name
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,10.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,100.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1000.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1001.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1002.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1003.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1004.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1005.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1006.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1007.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1008.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1009.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,101.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1010.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1011.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1012.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1013.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1014.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1015.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1016.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1017.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1018.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1019.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,102.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1020.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1021.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1022.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1023.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1024.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1025.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1026.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1027.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1028.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1029.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,103.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1030.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1031.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1032.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1033.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1034.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1035.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1036.jpg
D:\mreza\TestProjects\Python\DCGAN,Data,Cars4GAN,Audi,1037.jpg
